variant,n_months,sharpe_ann,mean_ann,vol_ann,max_drawdown,cumret_1to_X
V5b_V3_B50_C50_voltarget_x2.01,208,1.1260345101096967,0.059458033708925176,0.052803029725201636,-0.10468783330086862,2.7301113662204233
V5b_V3c_S34_Bb33_Cb33_voltarget_x1.57,208,1.0880947585795515,0.05745469988111219,0.052803029725201664,-0.12103144311154124,2.63727030815255
V5b_V3b_Bb50_Cb50_voltarget_x2.01,208,1.079248532478296,0.05698759234133173,0.05280302972520166,-0.10878956404372297,2.6161899295369193
V5_Bcsv_voltarget_x1.28,208,1.0686865859584191,0.05642988956528665,0.05280302972520162,-0.10714795427945178,2.5909468094096972
V1_inertia_voltarget_x1.66,208,1.0639819334936391,0.05618146966134216,0.05280302972520166,-0.11842595924353438,2.579962656950743
V5_Bbest_voltarget_x1.28,208,1.0324713825362297,0.05451761710248057,0.05280302972520164,-0.11093026954760055,2.5068407730308118
V6c_dyn_voltarget_x2.14,208,1.0231222595094722,0.054023955081394126,0.052803029725201636,-0.1091373319155019,2.485511783539987
Static_FF5,208,0.9946763159284299,0.05252192307692294,0.052803029725201636,-0.12207987391782271,2.4219524541494155
V4_methodB_baseline_only,208,1.0686865859584187,0.04405615384615379,0.04122457830482019,-0.08438896584685907,2.112141064233531
Method_B_baseline,208,1.0686865859584187,0.04405615384615379,0.04122457830482019,-0.08438896584685907,2.112141064233531
V8_stack_BCbest_longonly_voltarget_x4.78,208,0.8432006843618489,0.04452355080066906,0.05280302972520162,-0.09409288684768158,2.1094612525758105
Method_B_best_V3,208,1.0324713825362297,0.042561923076923074,0.04122334410119068,-0.08741364934486029,2.0583260268433246
V4_methodB_best_only,208,1.0324713825362297,0.042561923076923074,0.04122334410119068,-0.08741364934486029,2.0583260268433246
V8_stack_BCbest_longflat_blend50static,208,0.9855540316312016,0.042586153846153774,0.043210369476820006,-0.09916553724835497,2.056248594275661
V8_stack_BCbest_longflat_voltarget_x1.31,208,0.8112059511579678,0.04283413195225463,0.05280302972520162,-0.13736804140825143,2.048920428019262
V3c_S50_Bb25_Cb25,208,1.0678386668417579,0.04044252097432816,0.03787325017358761,-0.08911573520581095,1.9888439886390106
V3c_S30_Bb50_Cb20,208,1.0835198715236756,0.03987040139484716,0.03679711137995125,-0.08524987380321725,1.9706389909272477
V8_stack_avg_longflat_blend50static,208,0.9306030919143292,0.03922096153846147,0.04214574599981248,-0.0975038962744077,1.9416475757020375
V6b_static50_dyn50,208,1.053194437497836,0.03888588881004567,0.0369218516786228,-0.08680329863945746,1.9372283897520706
V3c_S40_Bb30_Cb30,208,1.0812651344645356,0.03802664055380921,0.03516865507056303,-0.08241678380144679,1.9107627026492282
V3c_S34_Bb33_Cb33,208,1.088094758579552,0.036577112301497836,0.03361574165585289,-0.07838032714137444,1.8651994391812876
V7_bestof3_trail12mSharpe,208,0.9680391917438309,0.03536557544880259,0.03653320624870038,-0.06569554459478666,1.823403153001547
V8_stack_avg_longflat_voltarget_x1.38,208,0.6762763693097954,0.03570944123111656,0.05280302972520162,-0.12389810114278987,1.8117720853689174
Inertia_v2_baseline,208,1.0639819334936393,0.03383787055220922,0.03180304992689193,-0.07262944227203805,1.7807544065549241
V6b_static30_dyn70,208,1.0673489147422124,0.03343147510329476,0.0313219741375473,-0.07241272310985225,1.7687322109470622
V2b_static50_Cbest50,208,1.0487740875684786,0.03334311887173333,0.031792470148683215,-0.0731907196581667,1.7655996940961278
V3c_S20_Bb40_Cb40,208,1.0974228539398119,0.033194879712771304,0.03024803027711675,-0.06891195474897283,1.762530902965049
V8_stack_avg_longonly_voltarget_x3.34,208,0.6444513697146109,0.03402898483148753,0.052803029725201664,-0.10626570025746163,1.760362991547997
V8_stack_BCbest_longflat,208,0.8112059511579675,0.032650384615384616,0.0402491926603563,-0.1058233620823279,1.735507642171226
V8_stack_avg_longonly_blend50static,208,0.9967324361659892,0.03135329905023463,0.03145608381205853,-0.06816896229503966,1.70622175371545
V8_stack_BCbest_longonly_blend50static,208,1.0351725161598926,0.030914387932041175,0.02986399604842884,-0.06937253553842337,1.6947198694319165
V3_B50_C50,208,1.126034510109697,0.029604985936824695,0.026291366446611494,-0.053128698013384046,1.65964019989687
V8_stack_avg_linear_blend50static,208,0.9966902872417996,0.029088215477256034,0.029184808811324514,-0.05676269223515684,1.6426275382068232
V3b_Bbest50_Cbest50,208,1.0792485324782966,0.028363118871733393,0.02628043311451412,-0.05526389269105958,1.624387417822303
V3_B40_C60,208,1.1322128947964623,0.02671475235495887,0.023595167020034138,-0.04679043082873002,1.5805490117229442
V2_static30_C70,208,1.0919597393743359,0.02636424954232379,0.024143975818586325,-0.05228337051396925,1.5706426264660422
V2b_static30_Cbest70,208,1.0640043688036762,0.02567159718965748,0.024127341900411173,-0.053085533827368026,1.5519483461891792
V8_stack_avg_longflat,208,0.6762763693097951,0.025919999999999995,0.03832752581086611,-0.09110200625430864,1.5468877226708708
V6_dyn_lowvol_Bbest_highvol_Cbest,208,1.0231222595094724,0.025249854543168394,0.024679215322002897,-0.05200754364354154,1.5402944657692588
V3_B30_C70,208,1.129887623955064,0.023824518773093044,0.021085741863157672,-0.04135907408476336,1.5049208924344246
V3b_Bbest30_Cbest70,208,1.0766369687933242,0.02268359718965752,0.02106893767086681,-0.04368147473551709,1.4755162837550195
V2_static20_C80,208,1.092273115782458,0.02262743903738106,0.020715916843903757,-0.04212363227754268,1.4742692663865962
V2b_static20_Cbest80,208,1.0550917227533032,0.021835836348619558,0.02069567590923573,-0.0433972878216794,1.454225391149988
V2_static10_C90,208,1.0632203320538727,0.018890628532438322,0.017767369530966744,-0.03411892730219601,1.3833041921544085
V2_static0_C100,208,0.9730750144706833,0.015153818027495589,0.015573124170430686,-0.029957844353965313,1.2974771613136749
Method_C_baseline,208,0.9730750144706833,0.015153818027495589,0.015573124170430686,-0.029957844353965313,1.2974771613136749
Method_C_best_V9,208,0.9111323645960897,0.014164314666543706,0.015545836386596616,-0.033347738703773944,1.2754488504265604
V2b_static0_Cbest100,208,0.9111323645960897,0.014164314666543706,0.015545836386596616,-0.033347738703773944,1.2754488504265604
V8_stack_avg_linear_voltarget_x2.69,208,0.28852647286212146,0.015235071923046174,0.05280302972520161,-0.19766887688141233,1.2712141130306627
V8_stack_avg_longonly,208,0.6444513697146114,0.010184675023546315,0.015803636243424377,-0.032414818261112255,1.1904378757833856
V8_stack_BCbest_longonly,208,0.8432006843618487,0.009306852787159405,0.011037529925871703,-0.02011678932618599,1.1737541104338154
V8_stack_avg_linear,208,0.28852647286212124,0.0056545078775891225,0.019597882376260336,-0.07728579364596477,1.0993096157277427
