variant,sharpe_ann,mean_ann,vol_ann,max_drawdown,n_months
V9_gbm_cross_only_longonly_q50,0.6955611772810921,0.010588297341715285,0.015222668670359549,-0.03611517521127339,299
V7_gbm_cross_macro_longonly_q25,0.669400160685265,0.02280163090102546,0.03406278074042204,-0.09392639622326804,299
V8_gbm_cross_only_longonly_q25,0.6227118687516291,0.01955747320212558,0.03140693823827878,-0.07486666466681624,299
V5_gbm_cross_macro_longonly,0.4830740906467786,0.008750814466191505,0.01811484953472708,-0.06787292255438182,299
V6_gbm_cross_macro_q25,0.4720814572753888,0.01872579087051284,0.039666440149097294,-0.10489898030061562,299
V0_baseline_gbm200_d3_lr05,0.26790103740115484,0.005642542428073915,0.021062040232508603,-0.07747424695115246,299
V1_gbm_cross_plus_macro,0.010539094265547118,0.00029575331472610347,0.02806249828250777,-0.1609278855425238,299
V3_gbm500_d3_lr02_cross_macro,-0.025362725769948843,-0.0007127442393941533,0.02810203626609613,-0.15890290287825626,299
V2_gbm300_d5_lr03_cross_macro,-0.06248258467306549,-0.0020506577301506717,0.03281966872658284,-0.20896468721060035,299
V4_lgbm_cross_macro,-0.121828671283304,-0.003298637346515973,0.02707603482636057,-0.11799713614830998,299
